title	source	publication_year	publication_month	publication_day	abstract	authors
Classified	The Review of Black Political Economy	1977	01	01		
The contribution of L. C. Gray to the economic theory of exhaustible natural resources and its roots in the history of economic thought	Journal of Environmental Economics and Management	1983	01	01	"The paper opens with an assessment of natural resources economics up to 1913-14 when Gray published his two pioneering articles in natural resources economics (Part I). An in-depth study of Gray, weighing his contribution to the microeconomic theory of the mine and the macroeconomic theory of conservation against current literature, constitutes the main body of the paper (Part II). Gray and Hotelling's contributions to the theory of the mine are compared (Part III). The paper concludes with a comparison drawn between the author's findings and the scant attention previously paid to Gray's contributions to natural resources economics. ""So far as I know, this is the first attempt to apply economic theory to this particular problem of conservation."" (H. C. Taylor, unpublished letter to C. R. Van Hise, May 23, 1913, a reference to Gray's ""Economic Possibilities of Conservation"")."	Philippe J Crabbé
Integration of resource economics and ecology	Ecological Modelling	1987	01	01	Economic activities that use natural resources are contained by ecological properties. Resource policy making thus has to include ecological considerations next to the economic assessments. Five overlapping options to achieve this goal are reviewed and discussed: 'stretching' concepts and methods, bioeconomics, compartment models, the systems framework approach, and a general resource policy analysis. 'Stretching' concepts is considered elegant but not very effective. Bioeconomics does not fully acknowledge ecological systems. Compartment models gain more attention nowadays but face size and integration problems. Systems approaches (holistic models) face the bias of reduction to a single denominator, and are often costly. The same goes for general policy analysis, which nevertheless may be most effective.	S.W.F. Van der Ploeg, L.C. Braat, W.F.J. Van Lierop
Surrounded by problems	Energy Policy	1989	01	01		Arthur Conway
The case for methodological pluralism	Ecological Economics	1989	01	01	"Ecology and economics share the same Greek root. Both address complex systems. Ecology consists of numerous approaches to understanding natural systems: energetics, population biology, food-web models, hierarchy theory to mention just a few. Within ecology, field knowledge and the reporting of new observations are well respected. Economics, on the other hand, is dominated by one pattern of thinking and standard of ""proof"", the market model and econometrics. Within economics, field knowledge and observations per se are little valued. Agreement on a correct method is frequently taken as an indication of the maturity of a science. The argument is developed in this paper that all the aspects of complex systems can only be understood through multiple methodologies. The agreement on method within economics, however, seems to reflect stronger pressures within the discipline for conformity than for truth relative to ecology. Since ecological economics seeks to understand a larger system than either economics or ecology seeks to understand, a diversity of methodologies is appropriate and pressures to eliminate methodologies for the sake of conformity should be avoided."	Richard B. Norgaard
Ecological economics: Rationale and problem areas	Ecological Economics	1989	01	01	"This paper is concerned with the nature of ecological economics as an area of interdisciplinary study and with problem areas which need to be confronted. After reviewing some of the perceived aims of work in this area, some of the sources of stimulus for studying ecological economics are considered. The roles of theories of history and ""utopias"" for ecological economics are assessed. The notion of ""paradigmatic images of the world"" is then introduced and related to utopias and the way that these influence work in ecological economics. Finally, a series of practical, ethical and conceptual problem areas are outlined, which require further interdisciplinary study."	John L.R. Proops
The limits to substitution: Meta-resource depletion and a new economic-ecological paradigm	Ecological Economics	1989	01	01		Paul R. Ehrlich
Sustainable Development: Its Economic Meaning and Policy Implications	Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie	1989	01	01		Terrence S. Veeman
What is ecological economics?	Ecological Economics	1989	01	01		Robert Costanza
The ecological economics of sustainability: Making local and short-term goals consistent with global and long term goals	Ecological Economics	1989	01	01		
